	verse	poem_name	count_syllabs	syllabs_order	is_true_syllabic
0	(Предисловие к Азбуковнику)1	Евстратий	10	[5]	False
1	Единому Богу в Троицы, Славимому в Единицы;	Евстратий	17	[4, 6, 9, 13]	False
2	Безначальному Отцу, Без отца, без матери нерожденну,	Евстратий	18	[5, 7, 8, 10, 11, 14]	False
3	Сыну, сначальному Отцу,От Отца без матери порожденну;	Евстратий	19	[2, 6, 8, 9, 11, 12, 15]	False
4	Отчю же и Сыновину, Духу животворящу,Богу равнопрестольну,	Евстратий	22	[2, 3, 4, 8, 10, 15, 17]	False
5	Святому всесвятящу; Богу в Бозе,  Свету от света,	Евстратий	16	[3, 7, 9, 11, 13, 14]	False
6	В простом слозе В вечныя лета Воспевание и слава,	Евстратий	17	[2, 4, 7, 9, 14, 15]	False
7	Честь, поклонение, Величание, держава,	Евстратий	14	[1, 6, 11]	False
8	Благодарение, Благословившему начати Сей Алфовит	Евстратий	19	[6, 12, 15, 16]	False
9	И способившему скончати И сословит.	Евстратий	13	[1, 6, 9, 10]	False
10	Призри на мя, Боже, в сиа времена	Молитва	11	[2, 3, 4, 6, 8]	False
11	И да смирятся гордости моей рамена3.	Молитва	13	[1, 2, 5, 8, 10]	False
12	Ты моя сила, мое и ограждение,	Молитва	13	[1, 3, 5, 7, 8]	False
13	Ты крепость моя и утвержение.	Молитва	11	[1, 3, 5, 6]	False
14	Аз создание руку твоею,	Молитва	10	[1, 5, 7]	False
15	Сокруши кости мои верою моею,	Молитва	13	[3, 5, 7, 10]	False
16	Да не скоростна будет ко греху душа моя	Молитва	14	[1, 2, 5, 7, 8, 10, 12]	False
17	И да пребудет во мне благодать твоя.	Молитва	12	[1, 2, 5, 6, 7, 10]	False
18	Аз от утробы матере моея к тебе привержен,	Молитва	16	[1, 2, 5, 8, 11, 13]	False
19	Да не будет ум мой от благодати твоей отвержен.	Молитва	16	[1, 2, 4, 5, 6, 7, 11, 13]	False
20	Спаси милостию своею моя уды	Молитва	13	[2, 6, 9, 11]	False
21	И оцысти телеса моего суды4,	Молитва	12	[1, 4, 7, 10]	False
22	Но не остави милости своей точию5,	Молитва	13	[1, 2, 5, 8, 10]	False
23	Но посещай всегда своею мочию.	Молитва	12	[1, 4, 6, 9]	False
24	Благодать сотвори по судбам твоим	Молитва	11	[3, 6, 7, 9]	False
25	И дай к подвигом бодрость костем моим,	Молитва	11	[1, 2, 5, 7, 9]	False
26	Ты бо еси Бог благости,	Молитва	8	[1, 2, 4, 5]	False
27	Источник животныя сладости.	Молитва	10	[3, 7]	False
28	Пою тя вечер, заутра6 и полудне,	Молитва	12	[2, 3, 5, 8, 9]	False
29	И во всяком часе и во дне;	Молитва	9	[1, 2, 4, 6, 7, 8]	False
30	Последнюю услышу востаниа трубу,	Молитва	13	[4, 7, 11]	False
31	И будеши милостивен своему рабу.	Молитва	13	[1, 4, 8, 11]	False
32	Господи! Ты еси паче всех жалостлив	Молитва	12	[3, 4, 6, 8, 9]	False
33	И вся то устроити смыслив.	Молитва	9	[1, 2, 3, 7]	False
34	Сподоби ны со избранными стати	Молитва	11	[3, 4, 5, 9]	False
35	И во спасенное благодеяние пристати.	Молитва	15	[1, 2, 6, 12]	False
36	Ты еси Господь и Бог мой,	Молитва	8	[1, 3, 5, 6, 7]	False
37	И аз недостойный раб твой;	Молитва	8	[1, 2, 6, 7]	False
38	Создал мя еси внегда7,	Молитва	7	[2, 3, 5]	False
39	Оттуду предстою ти всегда.	Молитва	9	[3, 6, 7]	False
40	иже во христианех многу неволю от царей и от	Молитва Христу Богу,	17	[2, 3, 7, 9, 12, 13, 15, 16]	False
41	правителей неразсудных злобы приемлют многи,	Молитва Христу Богу,	15	[4, 8, 10, 13]	False
42	еще же и от еретик и чревоугодных человек;	Молитва Христу Богу,	17	[2, 3, 4, 5, 8, 9, 14]	False
43	таков есть глагол прискорбных8, краестрочие9	Молитва Христу Богу,	13	[2, 3, 5, 8]	False
44	имуще по буквам, на римские ереси	Молитва Христу Богу,	13	[3, 4, 6, 7, 10]	False
45	Полки10 обнищавшие, Ясусе, вопиют к тебе,	Молитва Христу Богу,	15	[2, 7, 10, 13]	False
46	Речение сие милостивное приими, Владыка, в слух себе.	Молитва Христу Богу,	20	[4, 6, 11, 14, 17, 18]	False
47	Еже на нас вооружаются коварством всего света,	Молитва Христу Богу,	17	[2, 3, 4, 10, 13, 15]	False
48	Всегда избави, Господи, нас от их злаго совета.	Молитва Христу Богу,	16	[2, 5, 8, 9, 10, 11, 13]	False
49	Оне убо имеют в себе сатанину гордость,	Молитва Христу Богу,	15	[2, 4, 7, 9, 13]	False
50	Да отсекнут нашу к тебе душевную бодрость.	Молитва Христу Богу,	14	[1, 4, 6, 8, 12]	False
51	И твой праведный закон по своей воли изоображают,	Молитва Христу Богу,	18	[1, 2, 5, 7, 8, 10, 12]	False
52	Злочестивых к совести своей приражают11,	Молитва Христу Богу,	13	[4, 7, 9]	False
53	Лестными и злыми бедами погубляют нас, яко супостаты,	Молитва Христу Богу,	20	[3, 4, 6, 9, 13, 14, 16]	False
54	А не защитят от твоего гнева их полаты.	Молитва Христу Богу,	15	[1, 2, 5, 6, 9, 11, 12]	False
55	Желаю бо аз единого тя, Спаса истиннаго,	Молитва Христу Богу,	16	[3, 4, 5, 9, 10, 12]	False
56	Еже верую в тебе, Творца милостиваго.	Молитва Христу Богу,	14	[2, 5, 7, 9]	False
57	Не предаждь нас, раб твоих, точию	Молитва Христу Богу,	10	[1, 3, 4, 5, 7]	False
58	И посещай своих благочестивою мочию12.	Молитва Христу Богу,	15	[1, 4, 6, 12]	False
59	Яко безсловесных скотов нас имеют,	Молитва Христу Богу,	12	[2, 6, 8, 9]	False
60	Коварствы неправедными укоряют.	Молитва Христу Богу,	12	[3, 8]	False
61	Но мнози убо на себе клятвы13 наложили,	Молитва Христу Богу,	14	[1, 3, 5, 6, 8, 10]	False
62	Яко злыми, лукавыми нас обложили.	Молитва Христу Богу,	13	[2, 4, 8, 9]	False
63	Злой прибыток себе утвержают,	Молитва Христу Богу,	10	[1, 4, 6]	False
64	На нас души злостьми вооружают.	Молитва Христу Богу,	11	[1, 2, 4, 6]	False
65	Владыка Вседержитель, ты нашу беду видиш,	Молитва Христу Богу,	14	[3, 7, 8, 10, 12]	False
66	А глаголющиа поистинне молитвы наши приимеш.	Молитва Христу Богу,	18	[1, 6, 10, 13, 15]	False
67	Не дай врагом вознестися злостию на ны,	Молитва Христу Богу,	13	[1, 2, 4, 8, 11, 12]	False
68	А злостныя да не будут на нас их раны.	Молитва Христу Богу,	13	[1, 4, 5, 6, 8, 9, 10, 11]	False
69	Каин со Авелем две церкви знаменуют,15	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[2, 3, 6, 7, 9]	False
70	Но из Адама два естества именуют,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 2, 5, 6, 9]	False
71	Яже Богу всесожженную жертву принесли,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[2, 4, 9, 11]	False
72	За нь же молитвы свои к тому вознесли.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 2, 5, 7, 9]	False
73	Яко Каин грешный Богу не угоди	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[2, 4, 6, 8, 9]	False
74	И лукавым сердцем к нему приходи,	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[1, 4, 6, 8]	False
